XXXX,SCF_3,SCF_2,Delta_SCF,E_red
0068,-3478.37914366,-3478.56944812,-499644.3597296832,0.8884667018674735
0619,-3527.77690402,-3527.97888366,-530297.5448199749,1.2061656715549043
0327,-3652.92229608,-3653.14702855,-590035.0999854272,1.8253039331028365
0087,-3081.90412643,-3082.09094307,-490487.08831989736,0.7935579449644743
0985,-3614.36335292,-3614.58438008,-580306.8085792684,1.7244769506065027
0554,-3637.86769951,-3638.05965541,-503980.21544950554,0.9334048344250971
0184,-3542.47821093,-3542.64053083,-426170.8974501491,0.12696530497122965
0423,-2948.842277,-2949.04004696,-519245.02997929696,1.0916140330548474
0272,-3329.9123659,-3330.09930169,-490799.9166450179,0.7968001932426583
0494,-3638.58576156,-3638.77832405,-505572.81749500067,0.9499110482976698
0677,-3319.06922529,-3319.30401927,-616451.5944904642,2.0990925479656344
0301,-3546.28443425,-3546.47311715,-495386.953950009,0.8443416484428565
0602,-3929.25298642,-3929.46533875,-557531.0424142207,1.4884219558918044
0296,-3386.48038493,-3386.6994523,-575161.3799342663,1.6711481570634434
0304,-3032.36786251,-3032.58104591,-559713.0166992308,1.5110366036091694
0281,-3309.96326736,-3310.15730744,-509452.2300397964,0.9901184644224112
0866,-3367.7768758,-3367.95309198,-462655.5805893586,0.5051037009831434
0008,-3143.52058779,-3143.71047671,-498553.359460414,0.8771592419589982
0626,-3750.88012158,-3751.13008424,-656276.9638304326,2.5118548357820654
0830,-3706.95915383,-3707.16530722,-541255.7254451419,1.3197396014421086
0544,-3572.47616367,-3572.67304332,-516907.52107507363,1.0673873770541913
0862,-3589.16468422,-3589.39122132,-594773.156050825,1.874410592846816
0382,-3511.79702064,-3511.99257221,-513420.6470353524,1.031248349850779
0579,-3744.58519033,-3744.78493251,-524423.0935904136,1.1452810653512315
0168,-3733.47065798,-3733.65282745,-478285.9434854986,0.6671015544955023
0151,-4099.59907221,-4099.78011137,-475318.3145804783,0.6363441424105118
0724,-3403.8369871,-3404.04696664,-551301.282269867,1.4238548196078875
0108,-3041.42716051,-3041.61903183,-503758.1506606452,0.9311032871497662
0005,-3139.66860083,-3139.84998881,-476234.1414904763,0.645836052137392
0032,-3313.40823123,-3313.5990802,-501073.9707348257,0.9032836268313795
0703,-3477.29611572,-3477.49989269,-535016.434733899,1.2550736874529613
0613,-3299.57864528,-3299.77857273,-524909.5199759436,1.1503225369326173
0457,-3292.60165842,-3292.79689442,-512592.1180000594,1.022661221952214
0284,-3482.63915173,-3482.82349786,-484000.7643149854,0.726331702492464
0674,-3592.10470826,-3592.30517861,-526334.9039254192,1.1650956514009347
0769,-3407.3045467,-3407.50330926,-521851.10127994063,1.1186241517328142
0801,-4063.8450669,-4064.08421349,-627879.3720450485,2.2175335238124942
0381,-3219.70035257,-3219.88778979,-492116.4211099804,0.8104448474890436
0193,-3310.00583622,-3310.19214216,-489146.2454694322,0.7796610402594408
0766,-3504.70187997,-3504.90181172,-524920.809624751,1.150439546299953
0551,-3899.34504086,-3899.53590606,-501116.5825993032,0.9037252692056092
0726,-3291.46224326,-3291.66715465,-537994.8544456143,1.2859429387533214
0750,-3583.60220638,-3583.81239002,-551837.1468193199,1.4294086834152446
0547,-3792.05593769,-3792.25931207,-533959.4346894394,1.2441186162557842
0126,-3043.68714009,-3043.90440108,-570418.7292447009,1.6219938772317029
0223,-3582.2283766,-3582.39430609,-435647.87599513965,0.22518760424044776
0203,-3118.97835035,-3119.17875329,-526157.9189700094,1.1632613252838204
0858,-3666.90184486,-3667.0824611,-474207.9381195686,0.624835861735695
0133,-4002.88955012,-4003.06681844,-465417.9741604373,0.5337339914021582
0565,-4052.09378055,-4052.28518532,-502533.2236354993,0.9184077694512023
0633,-4073.87229861,-4074.05625114,-482967.36751425144,0.7156212625200957
0572,-3431.55020275,-3431.73835804,-494001.713894844,0.8299845975524069
0541,-3693.40321794,-3693.54150715,-363078.32085510244,-0.526945423069882
0652,-4473.28585518,-4473.43877421,-401488.913264458,-0.12884631533960728
