p:batch_size,p:epochs,p:hidden_dim1,p:hidden_dim2,p:hidden_dim3,p:hidden_dim4,p:hidden_dim5,p:hidden_dim6,p:lr,p:num_layers1,p:num_layers2,p:num_layers3,p:num_layers4,p:num_layers5,p:num_layers6,p:patience,p:scheduler_factor,p:use_batch_norm,p:z-normalize,objective,job_id,m:timestamp_submit,m:timestamp_gather
87,200,76,74,31,67,253,31,0.0007040919740991631,1,2,1,2,2,1,10,0.23520538956750045,False,False,-0.11343464255332947,1,0.7384190559387207,31.00385308265686
93,200,233,57,216,26,53,142,0.00010019748222403116,1,1,1,1,2,1,8,0.6337871956953018,True,True,-0.19916605024932565,2,0.7394139766693115,31.470062017440796
31,200,40,100,183,185,177,101,0.0001020397860324313,2,1,1,2,2,1,5,0.8983267624395719,True,False,-0.23188689351081848,0,0.7375028133392334,46.04779005050659
72,200,35,75,132,69,135,40,0.00011947141348134828,2,1,1,1,2,1,5,0.24969814026026138,False,False,-0.19050291180610657,5,46.12015986442566,65.13192796707153
28,200,93,160,170,45,105,148,2.3482122470219e-05,2,2,1,2,1,2,4,0.894596900145126,False,True,-0.17834271584233746,4,31.526835203170776,65.64124608039856
63,200,215,185,197,134,256,215,0.0003595702809593192,2,2,1,2,1,1,3,0.7551853988433903,False,False,-0.27430906891822815,3,31.067984104156494,81.02571606636047
46,200,119,167,109,201,141,149,1.0073599906096287e-05,2,2,2,2,1,1,6,0.3747827378721441,False,False,0.25827616453170776,6,65.19015502929688,103.49704480171204
114,200,103,200,195,176,238,19,0.0002847877227441354,2,2,1,2,2,1,4,0.5502529682847911,False,False,-0.04356473684310913,7,65.69609117507935,127.320561170578
96,200,207,236,150,149,65,122,0.0004818311487473901,1,1,1,2,1,1,8,0.48906401241063846,False,False,0.0183945894241333,9,103.56113195419312,138.39668202400208
119,200,160,253,130,113,64,144,3.071225402730031e-05,2,1,1,2,1,2,3,0.7042344022750497,False,True,-0.11059883683604982,10,127.38621091842651,166.68118000030518
115,200,209,119,151,254,248,255,7.228391753697129e-05,2,2,1,2,1,2,4,0.5618565459124533,True,True,-0.1244905517395486,8,81.09090089797974,168.00150895118713
59,200,92,170,151,30,161,222,0.0002536263334354412,1,2,1,2,2,1,5,0.23386082368369343,False,True,-0.2693307679174994,11,138.4647421836853,170.52467107772827
76,200,254,149,74,217,209,193,0.00021781499032620945,1,1,2,2,1,1,3,0.8183137934765454,False,False,-0.224135160446167,12,166.83895015716553,206.68623805046082
21,200,44,167,70,177,223,220,0.0004885353456916237,1,2,2,2,1,1,9,0.860988976829595,False,False,-0.04629668593406677,13,168.15336108207703,211.91318607330322
23,200,198,234,150,177,133,192,0.0009311771857374796,2,1,2,2,1,1,3,0.6289635979257255,False,False,-0.32023924589157104,14,170.69257998466492,218.02995109558105
27,200,145,172,141,206,24,218,1.3862495295934934e-05,2,1,2,2,1,1,10,0.5804064170866449,False,False,-0.15317046642303467,15,206.8537290096283,248.5509009361267
37,200,106,174,170,193,114,125,1.1281139619020268e-05,2,2,2,1,1,1,7,0.16676146933921915,True,False,0.6044172048568726,16,212.10990500450134,260.009574174881
24,200,189,241,165,192,129,68,0.0007943036497002139,2,1,2,2,1,1,7,0.17425796738614174,True,False,0.053661882877349854,17,218.21380019187927,274.45775413513184
