p:batch_size,p:epochs,p:hidden_dim1,p:hidden_dim2,p:hidden_dim3,p:hidden_dim4,p:hidden_dim5,p:hidden_dim6,p:lr,p:num_layers1,p:num_layers2,p:num_layers3,p:num_layers4,p:num_layers5,p:num_layers6,p:patience,p:scheduler_factor,p:use_batch_norm,objective,job_id,m:timestamp_submit,m:timestamp_gather
108,200,66,89,117,125,92,101,0.00014586492442448553,2,1,2,2,2,2,8,0.8245929346201074,False,-0.2184268832206726,2,18.569611072540283,49.77548909187317
107,200,144,194,251,30,19,171,9.215600370356323e-05,1,1,1,2,2,2,9,0.18521056040139972,False,-0.17107494920492172,0,18.56782627105713,50.75685405731201
113,200,151,84,181,69,125,227,4.175666395806638e-05,1,1,2,2,2,1,9,0.7803701340981756,False,-0.18596289306879044,1,18.568799257278442,57.69981408119202
114,200,88,216,70,174,27,118,6.234415921139718e-05,1,1,1,2,2,1,6,0.19099437118809537,True,-0.09643664071336389,4,50.812687158584595,84.54713010787964
20,200,133,64,115,134,210,168,1.9087565707929284e-05,1,2,2,1,1,2,8,0.3942991133487208,False,-0.19555097942550978,3,49.84784412384033,86.19035625457764
63,200,134,237,114,30,170,123,0.00025783143083529206,1,2,1,1,2,2,7,0.4532237680127821,False,-0.201635904610157,5,57.753897190093994,96.52758502960205
22,200,186,78,26,245,196,88,1.3101540958015479e-05,1,2,1,2,1,2,5,0.31361959488184915,False,-0.17812463392814,8,96.58712124824524,132.47109508514404
82,200,165,157,68,118,246,228,0.00018338871796839913,2,2,2,2,2,2,7,0.2677287211124223,False,-0.15044329315423965,7,86.24506425857544,148.54760599136353
88,200,219,252,59,231,222,176,5.717274300268354e-05,2,2,2,1,1,1,4,0.4482408208816978,False,-0.1904965117573738,6,84.60371708869934,153.77252507209778
68,200,120,248,23,157,78,86,5.926226334410255e-05,1,1,2,1,1,2,7,0.6748217576231189,False,-0.15433187782764435,10,148.6010422706604,172.62352299690247
93,200,216,232,242,23,30,175,0.0009789363946640852,2,2,1,1,2,1,4,0.7855110617113091,True,-0.14257131703197956,9,132.5214819908142,188.26912307739258
100,200,48,120,134,141,39,137,2.9358587624949655e-05,1,1,1,1,2,1,3,0.2619804851953153,True,-0.3073287159204483,12,172.7751910686493,195.729483127594
69,200,104,125,77,236,240,124,6.05006372414349e-05,1,1,2,2,2,1,3,0.19389971106736026,False,-0.14006920158863068,11,153.83007621765137,197.68667221069336
108,200,45,20,27,136,181,94,8.225971139288138e-05,1,1,2,2,1,2,8,0.8836972239392515,True,-0.10167836025357246,13,188.41170930862427,217.91943216323853
29,200,63,198,79,201,28,224,0.00027374198401660516,1,1,1,2,2,1,10,0.20846586097501965,True,-0.16853083483874798,14,195.87668824195862,232.8364450931549
123,200,96,125,92,106,50,88,2.015431352486416e-05,1,1,1,2,2,1,8,0.33722427053768567,True,-0.30551767349243164,16,218.06934118270874,241.82359433174133
19,200,83,255,110,174,146,100,0.00010887644648924852,2,1,2,2,1,1,4,0.11433758431137991,True,-0.2593693020088332,15,197.8398551940918,250.51113414764404
120,200,59,140,17,85,43,82,2.939029652991284e-05,1,1,2,2,2,2,8,0.17212756494469802,True,-0.5858935117721558,17,232.98875427246094,258.2131531238556
93,200,24,68,49,44,43,95,0.00022833284808113736,2,1,1,2,2,1,5,0.2792450274232261,True,-0.21899931132793427,18,241.98183703422546,258.9763481616974
105,200,98,76,62,185,50,165,6.432282031221389e-05,1,1,1,2,1,1,7,0.2380194235555645,True,-0.15344350039958954,21,259.1385531425476,288.8411831855774
124,200,82,171,21,172,124,127,9.923137315956255e-05,1,1,2,2,2,2,4,0.5361199977102469,True,-0.18967655301094055,19,250.8366219997406,293.17117834091187
115,200,39,29,23,229,197,62,0.0001488905667617601,1,1,1,2,2,2,8,0.6267526438294796,True,-0.17959491908550262,20,258.37063813209534,301.73320603370667
80,200,75,101,100,163,81,30,8.238709521457294e-05,1,1,2,2,1,1,6,0.14250203710673617,True,-0.1899563893675804,23,293.3301622867584,322.8280439376831
86,200,32,112,74,175,28,125,6.418602410424883e-05,1,1,1,1,2,1,5,0.8511706887275858,True,-0.15799371153116226,24,301.8889820575714,322.9822552204132
105,200,66,224,115,162,117,134,8.149989536089275e-05,1,1,2,2,2,1,6,0.7816188771985831,True,-0.1554931215941906,22,288.9968812465668,331.87899518013
