p:batch_size,p:epochs,p:hidden_dim1,p:hidden_dim2,p:hidden_dim3,p:hidden_dim4,p:hidden_dim5,p:hidden_dim6,p:lr,p:num_layers1,p:num_layers2,p:num_layers3,p:num_layers4,p:num_layers5,p:num_layers6,p:patience,p:scheduler_factor,p:use_batch_norm,p:z-normalize,objective,job_id,m:timestamp_submit,m:timestamp_gather
50,200,116,69,234,200,197,140,2.5960954360807465e-05,1,1,1,1,2,2,6,0.49528652395335393,False,True,-1.0775530636310577,2,0.9046330451965332,37.86808395385742
51,200,59,148,244,83,97,166,0.0005027508105050852,1,2,2,1,2,1,4,0.6648524664856986,True,False,-0.22652306407690048,1,0.9038782119750977,47.753509283065796
38,200,220,232,219,154,189,172,6.319722445859407e-05,2,1,1,2,1,1,10,0.7647839196884653,False,True,-0.572892814874649,0,0.9030361175537109,48.69688129425049
126,200,185,141,35,242,237,60,2.155435917582776e-05,1,2,2,2,1,2,6,0.4890554425475233,True,False,-0.4943343997001648,3,37.94877815246582,92.10122513771057
20,200,197,186,199,118,181,108,0.00018722723900030047,1,2,2,2,2,2,10,0.3309136426186281,False,False,-0.14088434129953384,5,48.751819133758545,103.57460021972656
39,200,200,204,161,238,51,226,0.0002904344202937325,2,2,1,2,1,2,10,0.3200235006680506,True,True,-1.2671372294425964,4,47.82473707199097,115.15576815605164
103,200,117,140,152,156,35,207,0.00016540074116213891,1,1,1,2,2,2,7,0.5193452611810044,True,False,-0.256256639957428,6,92.16498517990112,139.26517605781555
90,200,74,42,207,81,241,138,0.00012898899834090183,1,1,2,2,2,1,3,0.22619001566618988,False,True,-0.6671628952026367,7,103.63249826431274,148.63687133789062
101,200,147,244,46,99,169,231,2.6453838347863853e-05,1,1,1,1,1,1,3,0.6538977444404112,True,False,-0.16216646134853363,8,115.21713924407959,152.29941201210022
22,200,65,225,114,93,190,177,0.00010350109060482923,1,1,1,2,1,1,5,0.17042166745962728,True,False,-0.1635201945900917,9,139.33224606513977,180.12640833854675
123,200,67,130,99,175,68,207,9.651684391667806e-05,2,1,1,2,2,2,9,0.16738024376012606,True,False,-0.09401063621044159,11,152.36609625816345,198.75069999694824
18,200,219,170,74,44,139,219,2.6562685622085406e-05,1,2,1,2,1,2,9,0.6793389867887352,True,True,-0.9937678972880045,10,148.6942892074585,203.0871102809906
77,200,176,201,49,254,210,40,2.2750713735206764e-05,1,2,2,2,1,2,10,0.4563440325930195,False,False,-0.09501628205180168,12,180.2980670928955,227.3893141746521
113,200,72,105,36,240,66,129,7.809642456890452e-05,2,1,1,1,2,2,9,0.36353433966714965,True,False,-0.1674324870109558,13,198.90932035446167,231.18488335609436
32,200,232,112,60,222,226,186,1.049135381220592e-05,2,1,1,1,1,2,9,0.4797995989480974,False,False,-0.16343152026335397,14,203.28988313674927,245.24174523353577
105,200,199,72,75,247,53,62,4.94658154035686e-05,2,2,2,2,1,2,6,0.6292591995437886,False,False,-0.17066574096679688,15,227.550861120224,271.128808259964
76,200,70,117,112,234,255,40,1.5709721641621488e-05,2,2,1,2,2,1,9,0.13470806605785404,True,False,-0.21472468972206116,16,231.34028911590576,288.6184461116791
126,200,224,91,222,159,81,200,1.3493007875393467e-05,2,2,1,2,1,2,9,0.13590464008136838,True,False,-0.43771013617515564,17,245.39764618873596,303.55832600593567
80,200,23,151,130,31,18,94,0.00014472030398585695,2,1,1,2,1,2,9,0.29643444999264923,True,False,-0.15994317457079887,19,288.77391624450684,313.57475304603577
67,200,61,130,128,189,84,194,0.00021456593614482163,2,1,2,2,2,2,8,0.2300522199846061,True,False,-0.1031828299164772,18,271.3116412162781,317.11478209495544
125,200,163,123,24,153,232,242,0.0006239343853631707,2,1,1,2,1,1,3,0.11618828474231382,True,False,-0.183020681142807,20,303.71826004981995,351.1812150478363
124,200,123,76,213,94,146,241,1.9371970248686517e-05,2,1,2,2,1,1,9,0.2080048014028271,True,False,-0.14772571623325348,21,313.729177236557,363.269198179245
128,200,176,126,204,154,35,236,0.0002365973367524502,2,1,1,2,1,2,6,0.10018755470823858,False,False,-0.19873343408107758,22,317.281378030777,363.90421414375305
99,200,31,65,242,33,85,232,1.5236075132932552e-05,2,1,1,2,2,2,9,0.11903359490091782,True,False,-0.34948962926864624,23,351.35186314582825,392.82889699935913
102,200,205,152,86,222,33,121,2.1323850847632224e-05,1,1,1,2,2,2,8,0.14269848412275757,True,False,-0.23199458420276642,24,363.42823600769043,411.1535973548889
